EPC,Frequency,Phase,RSSI,Timestamp
b'2023081808726A041A901320',902999,49,-90,1711535217.012
b'2023081808726A041A901320',902998,52,-89,1711535217.049
b'2023081808726A041A901320',902999,55,-90,1711535217.085
b'2023081808726A041A901320',902998,55,-90,1711535217.12
b'2023081808726A041A901320',902999,54,-89,1711535217.156
b'2023081808726A041A901320',902998,53,-88,1711535217.194
b'2023081808726A041A901320',902999,48,-88,1711535217.231
b'2023081808726A041A901320',902998,43,-88,1711535217.267
b'2023081808726A041A901320',902999,51,-88,1711535217.304
b'2023081808726A041A901320',902998,40,-90,1711535217.341
b'2023081808726A041A901320',902999,52,-88,1711535217.375
b'2023081808726A041A901320',902998,46,-89,1711535217.413
b'2023081808726A041A901320',902999,38,-90,1711535217.447
b'2023081808726A041A901320',902998,36,-89,1711535217.472
b'2023081808726A041A901320',902999,36,-89,1711535217.507
b'2023081808726A041A901320',902998,34,-89,1711535217.544
b'2023081808726A041A901320',902999,33,-89,1711535217.579
b'2023081808726A041A901320',902998,32,-88,1711535217.616
b'2023081808726A041A901320',902999,34,-88,1711535217.653
b'2023081808726A041A901320',902998,37,-88,1711535217.689
b'2023081808726A041A901320',902999,36,-89,1711535217.726
b'2023081808726A041A901320',902998,33,-88,1711535217.763
b'2023081808726A041A901320',902999,48,-89,1711535217.797
b'2023081808726A041A901320',902998,40,-88,1711535217.834
b'2023081808726A041A901320',902999,38,-87,1711535217.87
b'2023081808726A041A901320',902998,40,-88,1711535217.906
b'2023081808726A041A901320',902999,40,-88,1711535217.942
b'2023081808726A041A901320',902998,46,-88,1711535217.983
b'2023081808726A041A901320',902999,46,-88,1711535218.018
b'2023081808726A041A901320',902998,46,-88,1711535218.055
b'2023081808726A041A901320',902999,50,-88,1711535218.091
b'2023081808726A041A901320',902998,51,-87,1711535218.126
b'2023081808726A041A901320',902999,56,-88,1711535218.163
b'2023081808726A041A901320',902998,58,-88,1711535218.201
b'2023081808726A041A901320',902999,59,-87,1711535218.238
b'2023081808726A041A901320',902998,62,-88,1711535218.274
b'2023081808726A041A901320',902999,66,-88,1711535218.309
b'2023081808726A041A901320',902998,68,-88,1711535218.347
b'2023081808726A041A901320',902999,70,-88,1711535218.383
b'2023081808726A041A901320',902998,72,-88,1711535218.42
b'2023081808726A041A901320',902999,79,-88,1711535218.457
b'2023081808726A041A901320',902998,75,-88,1711535218.493
b'2023081808726A041A901320',902999,75,-88,1711535218.528
b'2023081808726A041A901320',902998,79,-88,1711535218.566
b'2023081808726A041A901320',902999,84,-88,1711535218.602
b'2023081808726A041A901320',902998,81,-87,1711535218.637
b'2023081808726A041A901320',902999,84,-88,1711535218.675
b'2023081808726A041A901320',902998,86,-88,1711535218.711
b'2023081808726A041A901320',902999,90,-88,1711535218.751
b'2023081808726A041A901320',902998,88,-88,1711535218.787
b'2023081808726A041A901320',902999,94,-88,1711535218.824
