EPC,Frequency,Phase,RSSI,Timestamp
b'2023081808726A041A901338',902998,160,-93,1714097347.582
b'2023081808726A041A901338',902998,158,-94,1714097347.59
b'2023081808726A041A901338',902998,160,-92,1714097347.598
b'2023081808726A041A901338',902999,151,-91,1714097347.634
b'2023081808726A041A901338',902998,152,-91,1714097347.671
b'2023081808726A041A901338',902999,144,-90,1714097347.706
b'2023081808726A041A901338',902998,141,-92,1714097347.743
b'2023081808726A041A901338',902999,140,-92,1714097347.779
b'2023081808726A041A901338',902998,135,-92,1714097347.816
b'2023081808726A041A901338',902999,130,-92,1714097347.852
b'2023081808726A041A901338',902998,128,-91,1714097347.874
b'2023081808726A041A901338',902999,123,-92,1714097347.909
b'2023081808726A041A901338',902998,121,-91,1714097347.947
b'2023081808726A041A901338',902999,123,-92,1714097347.984
b'2023081808726A041A901338',902998,113,-91,1714097348.02
b'2023081808726A041A901338',902999,118,-91,1714097348.057
b'2023081808726A041A901338',902998,115,-92,1714097348.092
b'2023081808726A041A901338',902999,113,-92,1714097348.129
b'2023081808726A041A901338',902998,109,-91,1714097348.167
b'2023081808726A041A901338',902999,105,-91,1714097348.203
b'2023081808726A041A901338',902998,110,-91,1714097348.239
b'2023081808726A041A901338',902999,107,-91,1714097348.274
b'2023081808726A041A901338',902998,106,-91,1714097348.31
b'2023081808726A041A901338',902999,109,-90,1714097348.347
b'2023081808726A041A901338',902998,102,-93,1714097348.386
b'2023081808726A041A901338',902999,103,-90,1714097348.422
b'2023081808726A041A901338',902998,102,-92,1714097348.459
b'2023081808726A041A901338',902999,103,-90,1714097348.495
b'2023081808726A041A901338',902998,98,-92,1714097348.532
b'2023081808726A041A901338',902999,99,-90,1714097348.567
b'2023081808726A041A901338',902998,102,-93,1714097348.604
b'2023081808726A041A901338',902999,96,-91,1714097348.652
b'2023081808726A041A901338',902998,98,-90,1714097348.689
b'2023081808726A041A901338',902999,101,-91,1714097348.726
b'2023081808726A041A901338',902998,99,-91,1714097348.761
b'2023081808726A041A901338',902999,103,-90,1714097348.797
b'2023081808726A041A901338',902998,101,-91,1714097348.833
b'2023081808726A041A901338',902999,99,-91,1714097348.87
b'2023081808726A041A901338',902998,101,-92,1714097348.895
b'2023081808726A041A901338',902999,101,-91,1714097348.931
b'2023081808726A041A901338',902998,103,-92,1714097348.965
b'2023081808726A041A901338',902999,107,-92,1714097349.003
b'2023081808726A041A901338',902998,106,-92,1714097349.039
b'2023081808726A041A901338',902999,102,-92,1714097349.075
b'2023081808726A041A901338',902998,106,-93,1714097349.111
