plate_number,x,y,z,Timestamp
ENA9823,0.579583527163154,1.6517969086473185,0.45601742265172246,1714097349333920726
ENA9821,-0.11912754087848697,1.1350951483148817,0.23384840571233415,1714097349339735413
ENA8775,-0.7096553303048178,0.9049415599202474,0.05393941149995585,1714097349340912132
EA9823,0.5659471048011264,1.6814437043043098,0.479098245212784,1714097350889001090
ENA9821,-0.129411220804596,1.1542822580284031,0.24924844262037738,1714097350891236975
ENA8775,-0.7319805029479504,0.9358271321028425,0.06866200500761019,1714097350892702965
EP6861,1.0770824166769732,2.0891489576963607,0.7543391838988048,1714097351610306506
ENA9823,0.5098426817336161,1.8099795704752013,0.5958679825086982,1714097351612263537
ENA9821,-0.19343342561082202,1.289183759992395,0.3531876211002768,1714097351614029110
ENA8775,-0.7796197367808169,1.003277903731846,0.15409956696934535,1714097351615954267
BA9832,2.00630276045863,3.0928244754849707,1.2600194146253634,1714097352407093381
EP6861,1.0126297634665684,2.150133165508672,0.8501641930144055,1714097352408895568
EA9823,0.45796927864936526,1.891979334203496,0.7009229066465417,1714097352410508641
ENA9821,-0.2584810781865665,1.4348954866543553,0.469025558732718,1714097352411989475
ENA8775,-0.8617874678236884,1.1162969074394216,0.24887029975679525,1714097352413748068
BA9832,1.7001047209765712,2.7568681632696372,1.1996821353203428,1714097353243047339
EPN6861,0.9847626041596887,2.239659132917881,0.9609630274779293,1714097353244993224
EA9823,0.4306672761557728,2.042071547818615,0.8363524202627174,1714097353246356558
ENA9821,-0.3047864778442946,1.5247449082491016,0.5695743244833793,1714097353247592912
ENA8775,-0.9145643616499015,1.2022045244445048,0.34006323625802093,1714097353249532756
BA9832,1.9884224177277476,3.3254805199367734,1.5012030436552142,1714097354046139057
EP6861,0.9595776033813563,2.296195620680359,1.0243243380435685,1714097354047997130
EA9823,0.3921101081563248,2.0920277331556694,0.9014512040477105,1714097354049261557
ENA9821,-0.3345421559702909,1.5607618700925066,0.6244936528875935,1714097354050525359
ENA8775,-0.010026850602451957,-0.0006882854888946299,0.0013970491738670016,1714097354054041714
BA9832,1.9119827319931075,3.289361934461101,1.5201457476588642,1714097354837914370
EPN6861,0.9481241943015046,2.35129280417603,1.0767186131016733,1714097354839572130
ENA9823,0.36813884060116203,2.082430163494499,0.9133227284018639,1714097354841223797
ENA9821,-0.3608054748201694,1.601849553445913,0.6551132008031044,1714097354842501922
ENA8775,0.012796804034574824,-0.005293414784715428,-0.0025538154848108313,1714097354846693745
BA9832,1.8529812908988554,3.155773875977702,1.4552659334584026,1714097355660780671
EPN6861,0.966985604044245,2.37008369716629,1.086121470326382,1714097355661970307
EA9823,0.370756755171996,2.0490956355589875,0.9063005651644681,1714097355663723432
ENA9821,-0.356245825321571,1.600669025543201,0.6610218356113178,1714097355664864630
ENA8775,0.011692684092845018,-0.00444357741781326,-0.0022017461499829055,1714097355668258276
BA9832,1.8563393829670856,3.159648579613236,1.4569621535917299,1714097356453092963
